51° 23.357078151275203,6° 48.37199028602241
51° 23.45420344127291,6° 48.37227203132571
51° 23.55132873127019,6° 48.372809908722836
51° 23.648454021267895,6° 48.37362953142321
51° 23.7455793112656,6° 48.37470528621752
51° 23.84270460126288,6° 48.37606278631503
51° 23.939829891260587,6° 48.377702031715835
51° 24.036955181258293,6° 48.37959740921052
51° 24.134080471256,6° 48.38177453200846
51° 24.23120576125328,6° 48.38423340010969
51° 24.328331051250984,6° 48.38694840030476
51° 24.42545634124869,6° 48.38994514580307
51° 24.52258163124597,6° 48.393198023395314
51° 24.619706921243676,6° 48.39673264629081
51° 24.716832211241382,6° 48.40054901448955
51° 24.813957501239088,6° 48.40462151478217
51° 24.911082791236367,6° 48.40897576037804
51° 25.008208081234073,6° 48.413611751277216
51° 25.10533337123178,6° 48.418503874270215
51° 25.20245866122906,6° 48.42367774256651
51° 25.299583951226765,6° 48.42910774295664
51° 25.39670924122447,6° 48.434819488650064
51° 25.493834531222177,6° 48.44081297964674
51° 25.590959821219457,6° 48.447062602737304
51° 25.688085111217163,6° 48.453593971131156
51° 25.78521040121487,6° 48.460381471618845
51° 25.88233569121215,6° 48.46745071740983
51° 25.979460981209854,6° 48.47480170850402
51° 26.07658627120756,6° 48.482408831692126
51° 26.17371156120484,6° 48.49029770018349
51° 26.270836851202546,6° 48.49846831397816
51° 26.367962141200252,6° 48.50689505986665
51° 26.465087431197958,6° 48.51560355105839
51° 26.562212721195237,6° 48.52456817434407
51° 26.65913310551801,6° 48.53381454293293
51° 26.756053489840355,6° 48.543342656825104
51° 26.8529738741627,6° 48.55312690281116
51° 26.94989425848547,6° 48.56319289410045
51° 27.046814642807817,6° 48.57354063069305
51° 27.143735027130163,6° 48.58414449937948
51° 27.240655411452934,6° 48.595030113369205
51° 27.33757579577528,6° 48.606171859452765
51° 27.434496180097625,6° 48.61759535083962
51° 27.53141656441997,6° 48.62930058752973
51° 27.628336948742742,6° 48.64126195631371
51° 27.725257333065088,6° 48.653505070400946
51° 27.822177717387433,6° 48.66600431658206
51° 27.919098101710205,6° 48.67878530806648
51° 28.01601848603255,6° 48.69184804485414
51° 28.112938870354895,6° 48.70516691373563
51° 28.209859254677667,6° 48.71876752792042
51° 28.30657473332508,6° 48.73264988740846
51° 28.40329021197249,6° 48.74678837899039
51° 28.500005690619474,6° 48.7612086158756
51° 28.596721169266885,6° 48.775884984854656
51° 28.693436647914297,6° 48.79084309913701
51° 28.790152126561708,6° 48.806082958722605
51° 28.88686760520912,6° 48.82157895040203
51° 28.98358308385653,6° 48.837356687384755
51° 29.08029856250394,6° 48.85339055646136
51° 29.177014041151352,6° 48.869706170841276
51° 29.273729519798763,6° 48.88630353052438
51° 29.370444998446175,6° 48.903157022301365
51° 29.466955571418225,6° 48.920292259381654
51° 29.563466144390702,6° 48.93768362855582
51° 29.659976717362753,6° 48.955356743033235
51° 29.75648729033523,6° 48.973311602813894
51° 29.852997863307706,6° 48.99152259468843
51° 29.949508436279757,6° 49.01001533186623
51° 30.046019009252234,6° 49.0287642011379
51° 30.142529582224284,6° 49.04779481571288
51° 30.23904015519676,6° 49.067081562381674
51° 30.335550728168812,6° 49.086650054353775
51° 30.43185639546593,6° 49.106500291629125
51° 30.52816206276347,6° 49.126606660998355
51° 30.624467730060587,6° 49.146994775670834
51° 30.720773397357704,6° 49.16763902243719
51° 30.81707906465482,6° 49.18856501450685
51° 30.913384731951936,6° 49.20977275187971
51° 31.009690399249052,6° 49.2312366213465
51° 31.10599606654617,6° 49.25298223611654
51° 31.20230173384371,6° 49.2749839829804
51° 31.298402495465467,6° 49.297267475147564
51° 31.39450325708765,6° 49.31980709940861
51° 31.49060401870983,6° 49.34262846897296
51° 31.586704780332013,6° 49.3657315838405
51° 31.68280554195377,6° 49.38909083080192
51° 31.77890630357595,6° 49.41273182306665
51° 31.875007065198133,6° 49.43662894742525
51° 31.971107826820315,6° 49.4608078170871
51° 32.06700368276714,6° 49.485242818842785
51° 32.16289953871396,6° 49.50995956590177
51° 32.258795394661206,6° 49.53493244505463
51° 32.35469125060803,6° 49.56018706951074
51° 32.45058710655485,6° 49.58569782606078
51° 32.5464829625021,6° 49.61149032791403
51° 32.64237881844892,6° 49.63756457507056
51° 32.738274674396166,6° 49.66389495432093
51° 32.83396562466805,6° 49.6905070788746
51° 32.92965657493994,6° 49.71737533552215
51° 33.02534752521183,6° 49.74452533747295
51° 33.121038475483715,6° 49.771931471517625
51° 33.216729425755176,6° 49.799619350865555
51° 33.31242037602706,6° 49.82756336230736
51° 33.40811132629895,6° 49.85578911905247
51° 33.5035973708959,6° 49.8842710078914
51° 33.599083415492856,6° 49.91303464203364
51° 33.69456946008938,6° 49.942054408269705
51° 33.790055504686336,6° 49.97135591980907
51° 33.88554154928286,6° 50.00091356344232
51° 33.981027593879816,6° 50.03075295237881
51° 34.07630873280141,6° 50.06084847340919
51° 34.171589871723,6° 50.09122573974281
51° 34.26687101064502,6° 50.121859138170315
51° 34.36215214956661,6° 50.15277428190107
51° 34.457433288488204,6° 50.1839455577257
51° 34.552714427409796,6° 50.21539857885364
51° 34.647790660656455,6° 50.24710773207539
51° 34.74286689390311,6° 50.27909863060046
51° 34.83794312714977,6° 50.311345661219406
51° 34.933019360396,6° 50.34387443714154
51° 35.02809559364266,6° 50.37665934515761
51° 35.12317182688932,6° 50.40972599847693
51° 35.21804315446062,6° 50.443048783890134
51° 35.31291448203234,6° 50.47662770139722
51° 35.40778580960364,6° 50.510488364207546
51° 35.50265713717536,6° 50.544605159111754
